vx,vy,vz,yaw
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,0.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-30.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
0,0,0,-15.0
1,0,0,-15.0
1,0,0,-15.0
1,0,0,-15.0
1,0,0,-15.0
1,0,0,-15.0
1,0,0,-15.0
1,0,0,-15.0
1,0,0,-15.0
1,0,0,-15.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,0.0
1,0,0,15.0
1,0,0,15.0
1,0,0,15.0
1,0,0,15.0
1,0,0,15.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,30.0
1,0,0,15.0
1,0,0,15.0
1,0,0,15.0
1,0,0,15.0
1,0,0,15.0
1,0,0,15.0
1,0,0,15.0
